party;support;support_emor;last;year;month;gov;month_cycle;cycle_constant;cycle;inflats_m_basevalue;inflats_m;unemp;gdpgr;gdpgr_yearly;skp_yearly;support_lag1;bruto;bruto_yearly;inflats_prevyear_base;alko_suits_base;alko_suits_prevyear;eluase_base;eluase_prevyear;irl_meedias;kesk_meedias;ekre_meedias;ref_meedias;sde_meedias;rohel_meedias
ref;0,31;;0,278;2009;10;1;32;49;0,653061224;123,42;-0,080958549;15,5;0,1;-8,4;-9,5;0,28;783,49865;-6,5;126,08;138,96;137,6;149,53;157,99;;;;;;
ref;0,28;;0,278;2009;11;1;33;49;0,673469388;123,11;-0,25117485;15,5;0,1;-8,4;-9,5;0,31;783,49865;-6,5;125,81;139,17;138,81;148,97;160,22;;;;;;
ref;0,3;;0,278;2009;12;1;34;49;0,693877551;123,26;0,121842255;15,5;0,1;-8,4;-9,5;0,28;783,49865;-6,5;125,61;138,78;138,53;148,6;159,94;;;;;;
ref;0,35;;0,278;2010;1;1;35;49;0,714285714;123,61;0,28395262;19,5;1,2;-3,8;-3,3;0,3;758,31171;-2,3;124,85;141,18;138,78;150,26;160,45;530;571;141;512;344;124
ref;0,31;;0,278;2010;2;1;36;49;0,734693878;123,93;0,258878731;19,5;1,2;-3,8;-3,3;0,35;758,31171;-2,3;124,33;141,21;138,77;150,46;156,42;478;577;135;476;334;99
ref;0,35;;0,278;2010;3;1;37;49;0,755102041;125,46;1,234567901;19,5;1,2;-3,8;-3,3;0,31;758,31171;-2,3;123,75;141,32;138,29;152,36;151,96;549;758;436;689;429;176
ref;0,32;;0,278;2010;4;1;38;49;0,775510204;126,09;0,50215208;18,3;2,2;1,3;1,8;0,35;822,47901;1,2;123,01;142,8;138,31;152,98;148,29;377;622;411;411;491;237
ref;0,34;;0,278;2010;5;1;39;49;0,795918367;126,45;0,28551035;18,3;2,2;1,3;1,8;0,32;822,47901;1,2;123,05;142,29;137,98;154,24;146,33;393;603;673;499;601;224
ref;0,35;;0,278;2010;6;1;40;49;0,816326531;126,95;0,395413207;18,3;2,2;1,3;1,8;0,34;822,47901;1,2;122,81;142,92;136,58;155,23;146,23;410;550;371;558;414;209
ref;0,37;;0,278;2010;7;1;41;49;0,836734694;127,26;0,244190626;15,4;1,5;5,1;5;0,35;758,88691;0,9;123,85;143,97;138,55;155,54;149,19;227;355;283;343;281;115
ref;0,39;;0,278;2010;8;1;42;49;0,857142857;127,22;-0,031431715;15,4;1,5;5,1;5;0,37;758,88691;0,9;123,74;145,03;137,89;156,54;149,15;382;648;257;416;442;122
